"","title","genres","release_date","release_country","movie_rating","review_rating","movie_run_time","plot","cast","language","filming_locations","budget","lon","lat"
"1206","Delirium (2016)","Horror| Thriller","30-Oct-16","USA",NA,6.1,NA,"Directed by Johnny Martin. With Ryan Pinkston, Griffin Freeman, Mike C. Manning, Elena Sanchez. A group of young men dare a classmate to reach the porch of a legendary old house, said to be haunted by the thirteen victims of a family massacre. In hopes of making a viral video they arm him with a video camera to prove he was there or to capture him fleeing in terror before even reaching the house, as others have. When he doesn't return, the guys must go in to get him. Inside they discover ...","Ryan Pinkston|Griffin Freeman|Mike C. Manning|Elena Sanchez|Teresa Navarro|BJ Mitchell|Mila Brener|August Roads|Adam Reeser|Lindsay Bushman|Callan Taylor|Ian Bamberg|Troy Osterberg|Tye Olson|Seth Austin","English","California, USA","$1,000,000",-119.4179324,36.778261
"1207","Creeper (2012)","Horror","16-Aug-12","USA","NOT RATED",5,"94 min","Directed by Matthew Gunnoe. With Darryl Baldwin, Rohnja Morrow, Monica Chambers, David Vogel. Intending to get their revenge against the online weirdos lurking undetected, four friends try to expose a hardened pervert, but when their plan falls short of expectations, will they live to breathe another day?","Darryl Baldwin|Rohnja Morrow|Monica Chambers|David Vogel|Caitlin Bond|Ryan Charles|Roy Knect|Luis Reyes|Wilmar Frometta|Matthew Gunnoe|Brittney Cardella|Kyle Fritsche|Tara Dane","English","Orlando, Florida, USA",NA,-81.3792365,28.5383355
"1208","Zombie Hunter (2013)","Action| Comedy| Horror","8-Oct-13","USA","NOT RATED",3.5,"93 min","Directed by K. King. With Danny Trejo, Martin Copping, Clare Niederpruem, Jade Regier. When a street drug turns junkies into an army of zombies, a man named Hunter finds himself with nothing but a beat-up car and a trunk full of guns and booze, until he stumbles across a small band of survivors.","Danny Trejo|Martin Copping|Clare Niederpruem|Jade Regier|Jason K. Wixom|Terry Guthrie|Jake Suazo|Jeff Kirkham|Michael Monasterio|Marianne Smith|Shona Kay|Jarrod Phillips|Ashley Halbash|Cali Gonzalez|Adam Judd","English","Wendover, Nevada, USA","$1,000,000",-114.073345,40.739097
"1209","Sorority Party Massacre (2012)","Comedy| Horror","1-Dec-12","USA","R",3.4,"103 min","Directed by Chris W. Freeman, Justin Jones. With Thomas Downey, Ed O'Ross, Marissa Skell, Eve Mauro. Sexy college girls endure gore galore when a psychotic killer with a taste for sorority sister torture arrives. But when this party gets started, will they receive an advanced degree in extreme horror? stars Leslie Easterbrook (THE DEVIL'S REJECTS), adult-film legend Ron Jeremy, and new scream queens Marissa Skell, Eve Mauro, and Yvette Yates in this wild, hotter-than-hell horror comedy.","Thomas Downey|Ed O'Ross|Marissa Skell|Eve Mauro|Yvette Yates|Casey Fitzgerald|Rebecca Grant|Adrian Kirk|Alison Mei Lan|Keith Compton|Kevin Sorbo|Richard Moll|Leslie Easterbrook|Louis Mandylor|Ron Jeremy","English","Downtown, Los Angeles, California, USA",NA,-118.2467693,34.040713
"1210","The Corridor (2010)","Drama| Horror| Sci-Fi| Thriller","30-Mar-12","Canada","NOT RATED",4.8,"98 min","Directed by Evan Kelly. With Stephen Chambers, James Gilbert, David Patrick Flemming, Matthew Amyotte. Friends on a weekend excursion take a path into a forest that leads to death and destruction.","Stephen Chambers|James Gilbert|David Patrick Flemming|Matthew Amyotte|Glen Matthews|Mary-Colin Chisholm|Nigel Bennett|Elphege Bernard|Heather Salsbury","English","Canning, Nova Scotia, Canada",NA,-64.4282179,45.1604308
"1211","Wolf Town (2011)","Horror| Thriller","28-Feb-12","USA","R",3.1,"90 min","Directed by Roel Reiné. With Alicia Ziegler, Levi Fiehler, Max Adler, Josh Kelly. Kyle, a shy college student finds himself and three of his friends trapped in an old western ghost town by a pack of ferocious wolves and has to overcome his personal fears to confront the wolves and lead his friends to safety.","Alicia Ziegler|Levi Fiehler|Max Adler|Josh Kelly|Maureen Menyhart|Chris Parmele|Tracker Parmele|Carly Paremele|Peter Menyhart|Dave Bourne|The Wolves","English","Whitehorse Ranch, Landers, California, USA",NA,-116.4254866,34.3363369
"1212","Sensoria (2015)","Drama| Horror| Thriller","22-Jan-16","USA",NA,4.3,"81 min","Directed by Christian Hallman. With Lanna Ohlsson, Norah Andersen, Alida Morberg, Rafael Pettersson. Caroline, a woman in her late thirties, has lost everything and is searching for a new beginning. She moves into an old apartment and starts to realize that she is not as alone as she thought she was. Just as she is searching for something new, something old is searching for her.","Lanna Ohlsson|Norah Andersen|Alida Morberg|Rafael Pettersson|Boel Larsson|Karin Bertling|Harald Leander|Linnea Pihl","Swedish","Malmö, Sweden",NA,13.003822,55.604981
"1213","Cry of Fear (2015)","Horror","3-Dec-15","USA",NA,7,NA,"Directed by Skyler Harris. With Chace Crawford, Brandon Hemmings, Holland Roden. You wake up in a dark alley, not knowing anything. What has happened anyway? You struggle after the truth and answers. Answers you want to know in the darkness and fear, which makes your heartbeat race like violent blows against your head. Where do ""they"" come from? What has happened? Are you just turning insane? The time is up; you can't stay there reading your smses forever. It's time to head ...","Chace Crawford|Brandon Hemmings|Holland Roden","Swedish|English","Sweden","$999",18.643501,60.128161
"1214","The Summoning (2015)","Horror| Thriller","6-Jun-15","USA",NA,6.1,NA,"Directed by Charles Murray. With Jason Bond, Marco Dapper, Martin Elias, Reynaldo Gallegos. A grieving widow summons her dead husband back from the grave with disastrous results.","Jason Bond|Marco Dapper|Martin Elias|Reynaldo Gallegos|J.D. Hall|Kali Hawk|Michael King|Diandra Lyle|Darius McCrary|Dorian Missick|Elimu Nelson|Francisco Ovalle|Paula Jai Parker|Laura Patalano|Rich Paul","English","Los Angeles, California, USA","$1,000,000",-118.2436849,34.0522342
"1215","Dead Billy (2016)","Drama| Horror| Mystery| Thriller","14-Oct-16","USA",NA,5.3,"127 min","Directed by Scotty Milder. With John Hardy, Lauren Myers, Frank Taylor Green, Cindy Derby. Graduate student Calliope Girard's orderly life is thrown into chaos by unexplained seizures that unlock buried memories of a violent past.","John Hardy|Lauren Myers|Frank Taylor Green|Cindy Derby|Amelia Ampuero|Chad Brummett|Amy Baklini|Gordon Clapp|Vanessa Alexandra|Paul Blott|John Bustamante|Katie Becker Colón|Zach Dulin|Elizabeth Dwyer Sandlin|Albert Fry Jr.","English","Albuquerque, New Mexico, USA",NA,-106.650422,35.0843859
"1216","Apocalypse Z (2013)","Action| Horror| Sci-Fi","26-Oct-13","Japan","NOT RATED",2.3,"87 min","Directed by Luca Boni, Marco Ristori. With Christian Boeving, Mike Mitchell, Tara Cardinal, Ivy Corbin. A team of soldiers who are assembled to help end a zombie outbreak in a Romanian town.","Christian Boeving|Mike Mitchell|Tara Cardinal|Ivy Corbin|Carl Wharton|Jon Campling|Daniel Vivian|Gerry Shanahan|Nathalia Henao|David White|Uwe Boll|Lee Baughn|Garth Lughton|Andrea Rovini|Pietro Batini","English","Bagnone, Tuscany, Italy","$1,000,000",9.9945108,44.3146799
"1217","Cell 213 (2011)","Horror","22-Jul-14","USA","R",5,"109 min","Directed by Stephen Kay. With Bruce Greenwood, Eric Balfour, Michael Rooker, Deborah Valente. God and the Devil battle for the soul of a cocky lawyer.","Bruce Greenwood|Eric Balfour|Michael Rooker|Deborah Valente|Conrad Coates|Marie-Josée Colburn|Darlene Cooke|Murray Furrow|Tamara Gorski|Rothaford Gray|Darren Hynes|Viv Leacock|Peter Nelson|Paulino Nunes|Steve Pacini","English","Guelph Correctional Centre 785 York Road Guelph, Ontario, Canada",NA,-80.2059534,43.5559468
"1218","Bear Creek (2017)","Horror","19-Feb-17","USA","NOT RATED",5,"90 min","Directed by George Climer. With Leana Lewis, Elijah Barrett, Paul Henderson, Christopher Thomas Robert Brown. A pack of friends in Denver's gay bear community go for the camping trip of a life time filled with fun, laughs and a hot encounter. It all seems innocent enough until a rampaging sociopath joins them ensuring a trip they'll never forget.","Leana Lewis|Elijah Barrett|Paul Henderson|Christopher Thomas Robert Brown|Pedro Leos|Charlie Lanigan|Jonathan Albritton|Mike Benford|John Mill|Lindsey Hubbell|ChaCha Griego|William Castro|Antonio Aleman|Alex Gomez|Lou Delucia","English","Loveland, Colorado, USA","$7,500",-105.0749801,40.3977612
"1219","Toad Road (2012)","Horror","25-Oct-13","USA","UNRATED",5.1,"76 min","Directed by Jason Banker. With James Davidson, Sara Anne Jones, Whitleigh Higuera, Jamie Siebold. A portrait of contemporary youth culture, where the lines between reality and fiction are blurred with often frightening results.","James Davidson|Sara Anne Jones|Whitleigh Higuera|Jamie Siebold|Scott Rader|Donnie Simmons|Damon Johansen|Andy San Dimas|Jim Driscoll|Andy Martin","English","York, Pennsylvania, USA",NA,-76.727745,39.9625984
"1220","American Guinea Pig: Bouquet of Guts and Gore (2014)","Horror","24-Oct-14","USA","NOT RATED",4.4,NA,"Directed by Stephen Biro. With Ashley Lynn Caputo, Lilly Dickenson, Eight The Chosen One, Cayt Feinics. Two women are abducted by a group of snuff filmmakers and brought into a Hellish nightmare of unmistakable brutality, viciousness and destruction that will leave every viewer shocked, amazed and awestruck.","Ashley Lynn Caputo|Lilly Dickenson|Eight The Chosen One|Cayt Feinics|Scott Gabbey|Lucio Giovannelli|David Hood|Curse Mackey|Rogan Russell Marshall|Jim Van Bebber","English","Florida, USA",NA,-81.5157535,27.6648274
"1221","The Afflicted (2011)","Horror| Thriller","1-Mar-12","USA","NOT RATED",4.6,NA,"Directed by Jason Stoddard. With Leslie Easterbrook, Kane Hodder, J.D. Hart, Michele Grey. A story of incomprehensible abuse delivered by an explosively violent mother of four. Journey through the mind of a child that experiences a living hell, defined and defended by the twisted religious beliefs of her mother.","Leslie Easterbrook|Kane Hodder|J.D. Hart|Michele Grey|Sims Holland|Randi Jones|Daniel Jones|Cody Allen|Constance Collins|Ron Stafford|Anthony Garner|Anthony Osment|Matthew M. Anderson|Gezell Fleming","English","Charleston, South Carolina, USA","$180,000",-79.9310512,32.7764749
"1222","Blood Trap (2015)","Comedy| Crime| Horror| Thriller","20-Sep-16","USA","NOT RATED",4,"90 min","Directed by Alberto Sciamma. With Costas Mandylor, Gianni Capaldi, Drew Kenney, Elena Mirela. Six criminals are tasked with kidnapping a young woman for ransom, but when they get locked inside her mansion, what they find is not what they expected.","Costas Mandylor|Gianni Capaldi|Drew Kenney|Elena Mirela|Denny Mendez|Grazia Leone|Coque Malla|Vinnie Jones|Daniel Jones","English","Rome, Lazio, Italy","$5,000,000",12.4963655,41.9027835
"1223","KL Zombi (2013)","Comedy| Horror| Thriller","29-Aug-13","Malaysia",NA,5.1,NA,"Directed by Ming Jin Woo. With Zizan Razak, Siti Saleha, Izara Aishah, Fauziah Ahmad Daud. Tells the tale of slacker, Nipis who becomes a reluctant hero when a zombie outbreak robs him of the only life he knows.","Zizan Razak|Siti Saleha|Izara Aishah|Fauziah Ahmad Daud|Fadzli Daniel Ali|Arami Amin|Devan|Elai Faezah|Zain Hamid|Buzen Hashim|Afiq Izzudin|Yus Jambu|Ching Miau Lim|Iedil Putra|Khir Rahman","Malay","Kuala Lumpur, Malaysia","MYR 1,200,000",101.686855,3.139003
"1224","Zombie Pizza (2017)","Comedy| Horror","1-Apr-17","USA",NA,5.1,"94 min","Directed by Mike Dudko. With Gleb Kaminer, Katherine Flannery, Vincent Leong, Shaun Rey. After losing his father, a teenage boy decides to continue the family business and deliver pizza by bicycle during the zombie apocalypse.","Gleb Kaminer|Katherine Flannery|Vincent Leong|Shaun Rey|Richard Bird|José André Sibaja|Rachel Barrer|William Douglas Turner|Matthew McCurdy|James Vincent Boland|Sean Murry|Anna Maruny|Liza Yevtukhova|Sophia Xin Tan|Jade Chow Young","English","Brooklyn, New York City, New York, USA",NA,-73.9441579,40.6781784
"1225","The Haunting of Helena (2012)","Horror| Thriller","18-Jun-13","USA","NOT RATED",4.7,"84 min","Directed by Christian Bisceglia, Ascanio Malgarini. With Harriet MacMasters-Green, Sabrina Jolie Perez, Jarreth J. Merz, Matt Patresi. A single mother moves into a new house with her daughter. Soon after the young girl has her first baby tooth fall off, she begins to recount that she is having nocturnal visits by a tooth fairy. It seems the house has a sinister history.","Harriet MacMasters-Green|Sabrina Jolie Perez|Jarreth J. Merz|Matt Patresi|Paolo Paoloni|Giuliano Montaldo|Susanna Cornacchia|Marco Fattibene|Lucrezia Tosi|Massimiliano Carnevale|Angela Presepi|Marco Basile|Melania Maccaferri|Alice Filippi|Alessia Cannavale","English","Latina, Lazio, Italy",NA,12.9035965,41.4675671
"1226","Cine Basura: La película (2016)","Comedy| Horror| Sci-Fi","8-Oct-16","Spain",NA,6.9,"90 min","Directed by Paco Fox, Miguel Ángel Viruete. With Miguel Ángel Aijón, Paco Fox, Natalia Bilbao, Agustín Jiménez. Two geeky video bloggers are sucked into a truly awful Z movie. On their return to the real world, they discover they have been pursued by the tropes of the trashy films they adore.","Miguel Ángel Aijón|Paco Fox|Natalia Bilbao|Agustín Jiménez|Darío Frías|Carlos Zapata|Alejandra Saba|Maite Medina|Miriam Montero|Jorge Muñoz|Cha Fernández|Carlos Palencia|Jose Manuel Sanz|Maykel Mario Nicolás|Rodrigo Caro","Spanish","Madrid, Madrid, Spain",NA,-3.7037902,40.4167754
"1227","The Sighting (2016)","Horror| Sci-Fi| Thriller","10-May-16","USA",NA,3.8,NA,"Directed by David Blair, Adam Pitman. With Kent Harper, Gill Gayle, Adam Pitman, Nathaniel Peterson. One year after seven local students are inexplicably murdered at a lake house party near the Canadian border, recent high school grads Travis and his buddy Nate plan a celebratory road trip to Canada. While cutting through the woods at night, the two friends are savagely attacked by mysterious creatures and Nate is dragged off leaving Travis- to run for help. After Travis's efforts to save Nate ...","Kent Harper|Gill Gayle|Adam Pitman|Nathaniel Peterson|Sarina Hart|Rian Jairell|Jaime Perkins|Tony Hernandez|Life Noell|Andra Carlson|Jasmine John|Adam Stilwell|Lynn-Wood Fields|David Blair|Angela Millhone","English","Montana, USA",NA,-110.3625658,46.8796822
"1228","Roseville (2013)","Horror| Mystery| Thriller","20-Dec-13","Bulgaria",NA,6.2,"120 min","Directed by Martin Makariev. With David Chokachi, Lora Dekova, Lydia Indjova, Plamen Manassiev. The events surrounding the unsolved police case in which guests of a mountain hut come face to face with terror, when the mysterious force that stalks them in the dark, violently knocks on the door of their consciousness.","David Chokachi|Lora Dekova|Lydia Indjova|Plamen Manassiev|Elena Petrova|Kalin Vrachanski","Bulgarian|English","Borovets, Bulgaria",NA,23.6056165,42.2706675
"1229","616: Paranormal Incident (2013)","Horror","12-Feb-13","USA","NOT RATED",2.8,"90 min","Directed by David Chirchirillo. With Thomas Downey, Jennefer Folsom, Rib Hillis, Eve Mauro. When Special Agent Watts and his Investigation Unit are called to the derelict Woodburrow Prison he thinks it's business as usual. But there's nothing usual about Woodburrow. A mysterious woman is found attempting to flee the scene and things begin to spiral out of control as an evil force picks the team off one by one. Soon Agent Watts is left alone to face what might be the world's most ...","Thomas Downey|Jennefer Folsom|Rib Hillis|Eve Mauro|Adrian Kirk|Josef Cannon|Trent Haaga|Louis Mandylor|Autumn Federici|Cyrus Zoghi|Kylie Johnson|Kiana Osgood|Darren Kendrick|Chelsey Hemstreet|Michael Quinlan","English|Bulgarian","Los Angeles, California, USA","$50,000",-118.2436849,34.0522342
"1230","Lion (2017)","Horror","2017","UK",NA,NA,"12 min","Directed by Davide Melini. With Pedro Sánchez, Michael Segal, Tania Mercader. An isolated chalet in a snowy forest... A man blinded by alcohol... A woman unable to rebel... And an 8-year-old child troubled and dark... The silent night is broken with cries... the start of a terrible nightmare!","Pedro Sánchez|Michael Segal|Tania Mercader","English","Alhaurín el Grande, Málaga, Andalucía, Spain",NA,-4.6876707,36.6428298
"1231","Asmodexia (2014)","Horror","26-Sep-14","USA","NOT RATED",4.7,"81 min","Directed by Marc Carreté. With Albert Baró, Marta Belmonte, Pepo Blasco, Roser Bundó. Four days in the lives of an exorcist (Eloy Palma) and his granddaughter (Alba), working in the Barcelona area.","Albert Baró|Marta Belmonte|Pepo Blasco|Roser Bundó|Ramon Canals|Marina Durán|Lina Gorbaneva|Lluís Marco|Patrícia Mendoza|Irene Montalà|Maurice Nash|Clàudia Pons|Mireia Ros|José García Ruiz|Sílvia Sabaté","Spanish","Barcelona, Catalonia","€500,000",2.1734035,41.3850639
"1232","Flight from Hell (2014)","Action| Horror| Thriller","21-Mar-14","China",NA,3.9,"86 min","Directed by Vincent Zhou. With Ed Westwick, Zhu Zhu, Leon Lee, Cary Alexander. Disaster waits for those traveling on the last red-eye flight from a secluded Pacific island. The captain and chief flight attendant fight to save passengers from the otherworldly storm of chaos and paranoia aboard their doomed aircraft.","Ed Westwick|Zhu Zhu|Leon Lee|Cary Alexander|Johann Helf|Linlin Jiang|Didi Qian|Emily Sansiri|Alexander Winters","Mandarin|English","Bangkok, Thailand","$10,000,000",100.5017651,13.7563309
"1233","The Poltergeist of Borley Forest (2013)","Horror| Mystery| Thriller","31-Aug-13","USA","NOT RATED",2.5,"102 min","Directed by Stephen McKendree. With Marina Petrano, Christopher Ingle, Rhea Rossiter, Weston Adwell. After visiting a supposedly haunted forest, a teen girl comes to believe that a violent poltergeist followed her home and is stalking her.","Marina Petrano|Christopher Ingle|Rhea Rossiter|Weston Adwell|Nicholas Barrera|Jason Beck|Rebecca Barrow Hall|Cortland Woodard|Chris Cook|Lisa Shorts|Mary Trzcinski|Chris Wandembergh|Mary Chauvin|Ryan Carter|Charish Harvey","English","Tampa, Florida, USA",NA,-82.4571776,27.950575
"1234","Dark Circles (2013)","Horror","21-May-13","USA","R",5.1,"87 min","Directed by Paul Soter. With Brett Beoubay, Jamie Bernstein, Ashley Braud, Philippe Brenninkmeyer. Alex and Penny are sick of the hectic city life and decide a move out to the country to raise their newborn child. But they don't expect the horrors threatening their relationship and family.","Brett Beoubay|Jamie Bernstein|Ashley Braud|Philippe Brenninkmeyer|Rebecca Collins|Jenn Foreman|Andrea Frankle|Anthony Michael Frederick|Derrick Freeman|Pell James|Arabella Landrum|Ever Eloise Landrum|Grace LaRocca|Michael Patrick Rogers|Johnathon Schaech","English","Louisiana, USA",NA,-91.9623327,30.9842977
"1235","Insectula! (2015)","Comedy| Horror| Sci-Fi","13-Mar-15","USA","NOT RATED",5.7,"101 min","Directed by Michael Peterson. With Pasquale Pilla, Arielle Cezanne, Harrison Matthews, Sarah French. A giant alien mosquito-type insect is drawn to earth from the CO2 pollution in search of blood. Del, a government agent, loses loved ones to the creature and is on a personal vendetta while the Dr. Kempler is captivated by it and attempts to help the creature cleanse the earth.","Pasquale Pilla|Arielle Cezanne|Harrison Matthews|Sarah French|Christian Hanson|Joel Thingvall|Hanna Hudson|Yasmin Moon|Antonia Kurtz|H.T. Altman|Brandon NeSmith|John Edel|Jeff Gigler|Nicole Kruex|Trey Hanson","English","St. Paul, Minnesota, USA",NA,-93.0899578,44.9537029
"1236","The Mine (2012)","Adventure| Horror| Mystery| Thriller","13-Sep-12","USA","PG-13",3.8,"95 min","Directed by Jeff Chamberlain. With Reiley McClendon, Adam Hendershott, Valerie C. Walker, Jordan Chamberlain. Five school friends seek adventure on Halloween night in an abandoned, haunted mine, only to find to their horror that the ghostly rumors may be true as they fight for survival.","Reiley McClendon|Adam Hendershott|Valerie C. Walker|Jordan Chamberlain|Cody Walker|Alexa PenaVega|Saige Thompson|Charan Prabhakar|Jeff Chamberlain|Joseph Batzel|Sierra Taylor","English","Fairfield, Utah, USA",NA,-112.0929961,40.2621714
"1237","13/13/13 (2013)","Horror","1-Oct-13","USA","NOT RATED",4.4,"86 min","Directed by James Cullen Bressack. With Trae Ireland, Erin Coker, Jody Barton, Nihilist Gelo. For millennia, calendars have added an extra day every four years. In doing so, they violated the ancient Mayan calendar. Now we are in the 13th month of the 13th year of the new millennium, and the few who survive will battle a world of demons.","Trae Ireland|Erin Coker|Jody Barton|Nihilist Gelo|Bill Voorhees|Tiffany Martinez|Jared Cohn|Calico Cooper|Micah Fitzgerald|Ian Roberts|Darren Reul|Benjamin Norris|Greg Depetro|John Andrew Vaas|JD Fairman","English","Los Angeles, California, USA",NA,-118.2436849,34.0522342
"1238","Cord (2015)","Fantasy| Horror| Romance| Sci-Fi","28-Mar-15","Colombia",NA,5,"65 min","Directed by Pablo Gonzalez. With Laura de Boer, Michael Schumacher, Christian Wewerka. On a post-apocalyptic world of never-ending winter, a sparse cast of outsiders lives underground. Due to their unsanitary conditions, sexual contact has become dangerous. Masturbation has become the paradigm of sexual experience and an array of low-tech devices with this purpose has come into existence. In this bleak reality, Czuperski (a dealer of such machines) and Tania (a sex addict) make a ...","Laura de Boer|Michael Schumacher|Christian Wewerka","English","Berlin, Germany",NA,13.404954,52.5200066
"1239","Rogue River (2012)","Horror| Thriller","16-Jan-12","UK","R",4.3,"81 min","Directed by Jourdan McClure. With Michelle Page, Art Alexakis, Chris Coy, Michael Cudlitz. While spreading her father's ashes, Mara meets Jon who offers to give her a ride. Risking everything to escape this hell she's entered, she won't stop running until she finds safety.","Michelle Page|Art Alexakis|Chris Coy|Michael Cudlitz|Lucinda Jenney|Bill Moseley","English","Grants Pass, Oregon, USA","$2,000,000",-123.3283925,42.4390069
"1240","All Hallows Eve: October 30th (2015)","Horror| Thriller","16-Jun-15","USA",NA,4.2,"105 min","Directed by Ryan Byrne. With Marie-Josee Dionne, Dylan Cook, Ryan Byrne, Aidan Bass. A schizophrenic filmmaker, traumatized since childhood by the murder of his mother, writes and plots a retelling of his past staring a naive teenage girl and her friends while a creepy old man haunts them in the woods.","Marie-Josee Dionne|Dylan Cook|Ryan Byrne|Aidan Bass|Mark Fisher|Ariella Arbus|Anne-Marie Caicco|Anne Sarich|Ken Reid|Samantha Palmer|Catherine-rain Wilcox|Emily Mountford|Rodney JR Wilcox|Karly Mullin|Steven Skeggs","English","Sault Ste. Marie, Ontario, Canada","CAD 9,000",-84.3357526,46.5136494
"1241","Find Me (2014)","Horror| Mystery| Thriller","1-Sep-14","USA","NOT RATED",4.6,"85 min","Directed by Andy Palmer. With Cameron Bender, Kathryn Lyn, Rachelle Dimaria, Carlos Alazraqui. Before boxes are unpacked in their new home, newlyweds Tim and Emily, find themselves playing a very creepy game of hide and seek with a vengeful spirit.","Cameron Bender|Kathryn Lyn|Rachelle Dimaria|Carlos Alazraqui|Roniit Alkayam|Bobby Silva","English","Silt, Colorado, USA",NA,-107.6561707,39.5485917
"1242","The Amityville Asylum (2013)","Horror","3-Jun-13","UK",NA,2.9,"88 min","Directed by Andrew Jones. With Sophia Del Pizzo, Lee Bane, Jared Morgan, Eileen Daly. Lisa Templeton begins a new job as a cleaner at High Hopes Hospital, a mental institution in Amityville, Long Island. Initially delighted to get the job, Lisa soon realises that all is not as it seems.","Sophia Del Pizzo|Lee Bane|Jared Morgan|Eileen Daly|Paul Kelleher|Kenton Hall|Sarah Louise Madison|Alan Humphreys|Matthew Batte|Ina Marie Smith|Judith Haley|Andy Evason|Scott Delap|Ritchie Bessant|Laura Jeffs","English","Wales, UK","$20,000",-3.7837117,52.1306607
"1243","The Coed and the Zombie Stoner (2014)","Comedy| Horror","18-Apr-14","USA","UNRATED",3.7,"91 min","Directed by Glenn Miller. With Catherine Annette, Grant O'Connell, Jamie Noel, Aaron Caleb. When a nerdy sorority girl falls in love with a zombie, it's only a matter of time before a zombie apocalypse is unleashed on campus. The sorority girl discovers that weed is the cure--now she must smoke out the entire school before it's too late.","Catherine Annette|Grant O'Connell|Jamie Noel|Aaron Caleb|Dora Pereli|Lena Young|Ben Whalen|Josh Lee Aikin|Andrew Clements|Louis Dezseran|Diane Chambers|Mindy Robinson|Haley Beedle|Christine Nguyen|Mick Lambuth","English","Los Angeles, California, USA",NA,-118.2436849,34.0522342
"1244","Impossible Horror (2017)","Horror","16-Oct-17","Canada",NA,5.9,"76 min","Directed by Justin Decloux. With Ian Afif, Heather Aitken, Sophie Andrade, Elise Bailey. Two women search for the source of a sinister scream each night while challenging creative demons and facing an otherworldly threat that drives its victims into madness.","Ian Afif|Heather Aitken|Sophie Andrade|Elise Bailey|Duncan Bruce|Justin Decloux|Nora Duffy|Brandon Espana|April Etmanski|Dianne Etmanski|Celeste Gibson|Josh Haber|Peter Kuplowsky|Li Li|Rufio Luey","English","Toronto, Ontario, Canada",NA,-79.3831843,43.653226
"1245","Hellbenders (2012)","Comedy| Horror| Thriller","23-May-13","Russia","R",4.8,"85 min","Directed by J.T. Petty. With Clifton Collins Jr., Clancy Brown, Andre Royo, Robyn Rikoon. The Augustine Interfaith Order of Hellbound Saints, a team of blasphemous ministers who live in a constant state of debauchery, work to drag the worst of demons back to Hell.","Clifton Collins Jr.|Clancy Brown|Andre Royo|Robyn Rikoon|Macon Blair|Stephen Gevedon|Larry Fessenden|Dan Fogler|Aaron Auslender|Edoardo Ballerini|Larry Block|Patricia Bruno|Samantha Buck|Dan Chen|Nadim Choudhary","English","Brooklyn, New York City, New York, USA",NA,-73.9441579,40.6781784
"1246","Slasher Night (2017)","Horror| Mystery| Thriller","7-Sep-17","USA","NOT RATED",NA,"75 min","Directed by Manny Velazquez. With Jafeth Garcia, Angie Velazquez, Whitman Johnson, Ashley Perez. A Manny Velazquez underground slasher tribute about a number of serial killers on the loose in Chicago and begins a murder spree.","Jafeth Garcia|Angie Velazquez|Whitman Johnson|Ashley Perez|Robert Cruz|Jeffrey Entwistle|Joey Kelly|Alen Rios|Alex Velazquez|Manny Velazquez","English","Chicago, Illinois, USA",NA,-87.6297982,41.8781136
"1247","Airborne (2012)","Comedy| Horror| Mystery| Thriller","6-Feb-13","Sweden","TV-14",3.9,"81 min","Directed by Dominic Burns. With Craig Conway, Simon Phillips, Gemma Atkinson, Alan Ford. With Britain battered by a storm, one last plane takes off. Shortly after, passengers start disappearing one by one. Those that remain frantically try to discover who - or what - is behind it before they share the same fate.","Craig Conway|Simon Phillips|Gemma Atkinson|Alan Ford|Julian Glover|Mark Hamill|Billy Murray|Anthony Styles|Peter Barrett|Andrew Shim|Fiona Ryan|Raji James|Dominic Burns|Forbes KB|Chelsea Fitzpatrick","English","London, England, UK","$1,200,000",-0.1277583,51.5073509
"1248","Playback (2012)","Horror| Thriller","9-Mar-12","USA","R",4.3,"98 min","Directed by Michael A. Nickles. With Christian Slater, Ambyr Childers, Toby Hemingway, Jonathan Keltz. A cop investigates the case of a missing local teen, though he discovers a dark secret that has been unleashed in his town, and an evil spirit that will stop at nothing to find its heir.","Luke Bonczyk|Jana Veldheer|Johnny Pacar|Ambyr Childers|Alessandra Torresani|Jennifer Missoni|Jonathan Keltz|Dorien Davies|Toby Hemingway|Kenny Stevenson|Mark Metcalf|Bernard McConnell|Christian Slater|Lisa Jane Todd|Daryl Mitchell","English","Grand Rapids, Michigan, USA","$1,600,000",-85.6680863,42.9633599
"1249","House on the Hill (2012)","Crime| Horror","21-Jul-15","USA","NOT RATED",2.9,"85 min","Directed by Jeff Frentzen. With Naidra Dawn Thomson, Shannon Leade, Stephen A.F. Day, Sam Leung. Based on a true story, HOUSE ON THE HILL is a true crime melodrama with strong horror elements, chronicling the outrageous 1980s murder spree of serial killer Leonard Lake, who would target, kidnap, rob and kill people -- and even whole families. Sonia, the only survivor of Lake's killing spree, teams up with a private investigator to help him locate a woman who disappeared into Lake's compound. ...","Naidra Dawn Thomson|Shannon Leade|Stephen A.F. Day|Sam Leung|Kevin McCloskey|Laura Hofrichter|Brenna Catherine Briski|Crystal Nelson|Tya Adams|Olivia Parrish|Rachael Devlin|Elissa Dowling|Erin Young|Bud Watson|Jordan Bunniie","English","Winnetka, California, USA",NA,-118.5739621,34.2048586
